extroversion,openness,conscientiousness,agreeableness,neuroticism,personality
6.745071229516849,4.464986234910292,4.886585187208178,2.0413556105182207,0.0,1
5.792603548243223,3.8155504399887334,6.81651321232028,3.3457925164316764,0.0,1
6.971532807151039,3.059095869324034,5.242357098506987,2.4721549880145046,0.0,1
8.284544784612038,5.6662279368837085,5.6177400441329315,0.8413903996409635,0.0,1
5.648769937914996,1.601162752057056,6.432607788629033,2.3682007832208933,0.0,1
5.648794564576229,2.604255547833343,5.423347571096377,2.8873965324312194,0.0,1
8.368819223261088,2.6223861584792836,3.136797784171183,1.7145634683501962,0.0,1
7.151152093729364,6.161043076592995,6.852763755919612,1.8810480397658975,0.0,1
5.295788421097572,2.899613659924188,7.131407478889567,3.310056813246712,0.0,1
6.8138400653789475,6.688564881006942,3.1195490809194233,2.2541978093526533,0.0,1
5.304873460781307,4.146463988292178,4.1437214326400005,0.5835596332245052,0.0,1
5.301405369644614,3.7185610778079976,8.131043502731163,1.0961602886186395,0.0,1
6.362943407349051,3.1142928112722315,5.801645082055085,4.272127757869939,0.0,1
3.1300796330133034,0.622427736983078,5.504616655251475,2.548715067586108,0.0,1
3.4126232512304506,2.6751398394146046,4.945701570835559,1.4752596165539096,0.0,1
5.1565687061385415,3.008124412555546,4.160086553886375,1.1233237970978651,0.0,1
4.480753319498364,1.0813276131166571,5.247257065001701,2.2603724172768302,0.0,1
6.471370998892911,2.0625924995257643,6.766749560915424,3.851820075939885,0.0,1
4.637963886718183,1.6323338570586092,5.479618652804701,0.5310805105632459,0.0,1
3.881544447997063,4.514087339117714,6.293369311660962,2.0763087088582663,0.0,1
8.19847315338233,7.575017393642963,7.795419293058532,4.937531879173444,0.0,1
5.661335549270197,3.6427883063328097,4.745378365419949,2.8052321975700907,0.0,1
6.101292307031886,3.8395067397086775,5.893737370855974,3.170733440952625,0.0,1
3.8628777206798146,1.9141421862124635,6.805711629216381,3.170750814203336,0.0,1
5.183425913212226,1.9886731299559324,4.287225276493424,2.0564195147831237,0.0,1
6.166383884564799,5.350045199867572,5.731468676485546,1.777594856390299,0.0,1
4.273509633866546,4.812397452996491,7.934021882014269,2.5595705834852795,0.0,1
